inquiryprop,disciplineprop,traditionalprop,progressiveprop,reading1415,math1415,reading1516,math1516,reading1617,math1617,pocschool,pocsd,povertyschool,povertysd,childpovertysd,urban,primary,middle,high,otherlevel,students,age,state,cmoname,level,localefine,numwords,numpdfs,numpages,expulsions,suspensions,incidents,lawreferrals,lepcount,disabledcount,certrate,teacherratio,teacherscrdc,giftedcount,approgram,apcourses,titlei,geodistrict,districtname,schoolname,ethnicisolated99,ethnicisolated90,ethnicisolated80,ethnicisolated70,collegesd,popdensity,unemployment,foreignborn,closerate,publicdensity,charterdensity,address,latitude,longitude
,,,,15-19,20-24,,,15-19,20-24,98.23529411764706,88.33,87.6470588235294,21.83,0.30409200320941426,0,1.0,0.0,0.0,0.0,170.0,16,AK,,Primary,Town (remote),0.0,0,0,0.0,0.0,0.0,0.0,118.0,17.0,0.9285714285714286,13.076923076923077,14.0,,,,1.0,200001.0,Lower Kuskokwim School District,Ayaprun Elitnaurvik,1,1,1,1,12.059999999999999,0.7062055,18.3,2.03,0.0,28,1," 1010 Fourth Avenue , Bethel AK 99559.0 ",60.796131,-161.765194
0.003762227238525205,0.0007518796992481203,0.0,0.0007524454477050411,40-44,40-44,,,45-49,45-49,66.84210526315789,32.45,53.68421052631579,7.54,0.10798750557786703,0,1.0,0.0,0.0,0.0,190.0,17,AK,,Primary,Town (remote),1330.0,0,1,0.0,10.0,0.0,0.0,13.0,,1.0,15.833333333333334,12.0,,,,1.0,200150.0,Ketchikan Gateway Borough School District,Ketchikan Charter School,1,1,1,1,23.77,2.822938,7.57,8.18,0.1111111111111111,10,2," 410 Schoenbar , Ketchikan AK 99901.0 ",55.347001,-131.641191
0.009768182622544686,0.00017680964673432584,0.0002121790791427966,0.00017682840571509406,50-54,35-39,,,40-44,50-54,53.84615384615385,32.45,52.071005917159766,7.54,0.10798750557786703,0,1.0,0.0,0.0,0.0,169.0,12,AK,,Primary,Town (remote),28279.0,0,117,0.0,5.0,0.0,0.0,8.0,21.0,1.0,16.095238095238095,11.0,,,,1.0,200150.0,Ketchikan Gateway Borough School District,Tongass School of Arts and Sciences Charter School,1,1,1,1,23.77,2.822938,7.57,8.18,0.1111111111111111,10,2," 410 Schoenbar Road , Ketchikan AK 99901.0 ",55.347001,-131.641191
0.0,0.0,0.0,0.0,70-74,65-69,,,70-74,65-69,26.25994694960212,35.739999999999995,0.0,5.63,0.08858896174654457,1,1.0,0.0,0.0,0.0,377.0,17,AK,,Primary,City (large),563.0,0,1,0.0,11.0,12.0,0.0,8.0,21.0,1.0,19.040404040404038,20.8,,,,0.0,200180.0,Anchorage School District,Aquarian Charter School,1,1,1,1,34.300000000000004,175.5875,6.05,10.29,0.0,101,9," 1705 W 32nd Ave , Anchorage AK 99517.0 ",61.192407,-149.916872
,,,,54,31,,,50,32,38.56858846918489,35.739999999999995,0.0,5.63,0.08858896174654457,1,0.0,0.0,0.0,1.0,503.0,17,AK,,Other,City (large),0.0,0,0,0.0,4.0,1.0,0.0,21.0,78.0,1.0,57.224118316268495,11.3,11.0,Yes,1.0,0.0,200180.0,Anchorage School District,Family Partnership Charter School,1,1,1,1,34.300000000000004,175.5875,6.05,10.29,0.0,101,9," 401 E Fireweed Lane Suite 100 , Anchorage AK 99503.0 ",61.1981,-149.876
0.0097275011273594,0.00019318694056281793,0.0003219782342713634,0.0006442468754026541,40-44,15-19,,,45-49,25-29,25.274725274725274,35.739999999999995,0.0,5.63,0.08858896174654457,1,1.0,0.0,0.0,0.0,273.0,10,AK,,Primary,City (large),15529.0,0,33,0.0,8.0,5.0,0.0,10.0,31.0,1.0,19.5,16.19,6.0,,,0.0,200180.0,Anchorage School District,Winterberry School,1,1,1,1,34.300000000000004,175.5875,6.05,10.29,0.0,101,9," 4802 Bryn MAWR Court , Anchorage AK 99508.0 ",61.19445,-149.791641
0.0,0.0,0.0,0.0,75-79,70-74,,,65-69,80-84,21.022727272727273,35.739999999999995,0.0,5.63,0.08858896174654457,0,1.0,0.0,0.0,0.0,176.0,10,AK,,Primary,Town (fringe),1.0,0,1,0.0,4.0,0.0,0.0,8.0,,1.0,18.843683083511777,10.19,13.0,,,0.0,200180.0,Anchorage School District,Eagle Academy Charter School,1,1,1,1,34.300000000000004,175.5875,6.05,10.29,0.0,101,9," 10901 Mausel St Suite 101 , Eagle River AK 99577.0 ",61.319213,-149.579442
0.0074511819116135644,0.0,0.00012841916013869273,0.0002569043031470778,40-44,20-24,,,45-49,25-29,28.14814814814815,35.739999999999995,0.0,5.63,0.08858896174654457,1,0.0,0.0,0.0,1.0,270.0,12,AK,,Other,City (large),7787.0,0,15,0.0,0.0,0.0,0.0,14.0,,1.0,135.0,3.49,5.0,No,,0.0,200180.0,Anchorage School District,Frontier Charter School,1,1,1,1,34.300000000000004,175.5875,6.05,10.29,0.0,101,9," 400 W Northern Lights Blvd #9 , Anchorage AK 99503.0 ",61.194914,-149.891223
0.0,0.0,0.0,0.0,50-54,20-24,,,50-54,35-39,42.944785276073624,35.739999999999995,0.0,5.63,0.08858896174654457,1,0.0,0.0,0.0,1.0,163.0,12,AK,,Other,City (large),603.0,0,1,0.0,9.0,1.0,0.0,10.0,34.0,1.0,14.818181818181818,12.0,4.0,No,,0.0,200180.0,Anchorage School District,Highland Tech High Charter School,1,1,1,1,34.300000000000004,175.5875,6.05,10.29,0.0,101,9," 5530 E Northern Lights Suite 1 , Anchorage AK 99504.0 ",61.193958,-149.775759
,,,,45-49,35-39,,,55,59,19.65811965811966,35.739999999999995,0.0,5.63,0.08858896174654457,1,1.0,0.0,0.0,0.0,468.0,8,AK,,Primary,City (large),0.0,0,0,0.0,46.0,35.0,0.0,37.0,23.0,1.0,18.878580072609925,26.7,18.0,,,0.0,200180.0,Anchorage School District,Rilke Schule Charter School,1,1,1,1,34.300000000000004,175.5875,6.05,10.29,0.0,101,9," 650 W International Airport Rd , Anchorage AK 99507.0 ",61.173154,-149.895616
